id,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,price,review_scores_rating,reviews_per_month,neighbourhood
1484866406620761088,No,Marpole,Entire home,Entire home/apt,7,2.5,3,235,NA,NA,Other
1485081643831220736,Unknown,Downtown Eastside,Entire rental unit,Entire home/apt,4,1,1,134,NA,NA,Downtown Eastside
1485084466985916928,No,Downtown,Entire rental unit,Entire home/apt,7,2,2,265,4.7,4.02,Downtown
1485179096043346432,No,Renfrew-Collingwood,Entire home,Entire home/apt,8,2,3,213,4.86,2.44,Other
1485194673270400512,No,Dunbar Southlands,Private room in home,Private room,1,1,1,72,4.78,2.9,Other
1485455370359522560,Unknown,Downtown Eastside,Entire rental unit,Entire home/apt,4,1,1,72,5,4,Downtown Eastside
1485622474621491712,No,Downtown Eastside,Entire rental unit,Entire home/apt,2,1,1,110,NA,NA,Downtown Eastside
1485705612677272320,Yes,West Point Grey,Private room in home,Private room,1,2,1,80,4.78,3,Other
1485708168886604544,Yes,West Point Grey,Private room in home,Private room,1,2,1,76,5,3.33,Other
1485708661216676864,Yes,West Point Grey,Private room in home,Private room,2,2,1,76,4.86,2.28,Other
